Knjiga,Originalni naslov,Avtor(ji),Žanri
Knjiga 1,The Hunger Games,"Suzanne Collins, Suzanne Collins","Adventure, Dystopia, Fantasy, Fiction, Romance, Science Fiction, Young Adult"
Knjiga 2,The Fault in Our Stars,"John Green, John Green","Book Club, Coming Of Age, Contemporary, Fiction, Realistic Fiction, Romance, Young Adult"
Knjiga 3,The Old Man and the Sea,"Ernest Hemingway, Ernest Hemingway","Adventure, American, Classics, Fiction, Literature, Novels, School"
Knjiga 4,The Poisonwood Bible,"Barbara Kingsolver, Barbara Kingsolver","Africa, Book Club, Classics, Fiction, Historical, Historical Fiction, Literary Fiction"
Knjiga 5,The Complete Stories and Poems,"Edgar Allan Poe, Edgar Allan Poe","Classics, Fiction, Gothic, Horror, Mystery, Poetry, Short Stories"
Knjiga 6,The Stranger,"Albert Camus, Matthew  Ward, Albert Camus","Classics, Fiction, France, French Literature, Literature, Novels, Philosophy"
Knjiga 7,Interview with the Vampire,"Anne Rice, Anne Rice","Classics, Fantasy, Fiction, Gothic, Horror, Paranormal, Vampires"
Knjiga 8,Atlas Shrugged,"Ayn Rand, Leonard Peikoff, Ayn Rand","Classics, Fiction, Literature, Novels, Philosophy, Politics, Science Fiction"
Knjiga 9,The Girl Who Played with Fire,"Stieg Larsson, Reg Keeland, Stieg Larsson","Contemporary, Crime, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 10,Winnie-the-Pooh,"A.A. Milne, Ernest H. Shepard, A.A. Milne","Animals, Audiobook, Childrens, Classics, Fantasy, Fiction, Middle Grade"
Knjiga 11,The Notebook,"Nicholas Sparks, Nicholas Sparks","Adult, Adult Fiction, Chick Lit, Classics, Contemporary, Fiction, Romance"
Knjiga 12,Dark Places,"Gillian Flynn, Gillian Flynn","Book Club, Crime, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 13,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides, Oscar Wilde","Classics, Dark Academia, Fantasy, Fiction, Gothic, Horror, Literature"
Knjiga 14,Shutter Island,"Dennis Lehane, Dennis Lehane","Crime, Fiction, Horror, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 15,Harry Potter and the Sorcerer's Stone,"J.K. Rowling, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Harry Potter, Magic, Young Adult"
Knjiga 16,Fahrenheit 451,"Ray Bradbury, Ray Bradbury","Audiobook, Classics, Dystopia, Fiction, Literature, School, Science Fiction"
Knjiga 17,The Shining,"Stephen  King, Stephen  King","Classics, Fantasy, Fiction, Horror, Mystery, Paranormal, Thriller"
Knjiga 18,A Story of Yesterday,"Sergio Cobo, Sergio Cobo","Ebooks, European Literature, Fiction, Magical Realism, Mystery, Spanish Literature, Thriller"
Knjiga 19,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk, Herman Melville","Adventure, Audiobook, Classics, Fiction, Historical Fiction, Literature, Novels"
Knjiga 20,A Prayer for Owen Meany,"John Irving, John Irving","Book Club, Classics, Contemporary, Fiction, Historical Fiction, Literary Fiction, Literature"
Knjiga 21,Perfume: The Story of a Murderer,"Patrick Süskind, John E. Woods, Patrick Süskind","Classics, Crime, Fiction, Historical Fiction, Horror, Mystery, Thriller"
Knjiga 22,Fight Club,"Chuck Palahniuk, Chuck Palahniuk","Classics, Contemporary, Fiction, Literature, Mystery, Novels, Thriller"
Knjiga 23,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Harry Potter, Magic, Young Adult"
Knjiga 24,The Lightning Thief,"Rick Riordan, Rick Riordan","Adventure, Fantasy, Fiction, Middle Grade, Mythology, Percy Jackson, Young Adult"
Knjiga 25,Clockwork Angel,"Cassandra Clare, Cassandra Clare","Fantasy, Fiction, Historical Fiction, Paranormal, Romance, Steampunk, Young Adult"
Knjiga 26,"The Hobbit, or There and Back Again","J.R.R. Tolkien, Douglas A. Anderson, Michael Hague, J.R.R. Tolkien, Andy Weir","Adventure, Audiobook, Classics, Fantasy, Fiction, High Fantasy, Young Adult"
Knjiga 27,The Secret History,"Donna Tartt, Donna Tartt","Classics, Contemporary, Dark Academia, Fiction, Literary Fiction, Mystery, Thriller"
Knjiga 28,The Metamorphosis,"Franz Kafka, Stanley Corngold, Franz Kafka","Classics, Fantasy, Fiction, Horror, Literature, Philosophy, Short Stories"
Knjiga 29,It,"Stephen  King, Stephen  King","Audiobook, Classics, Fantasy, Fiction, Horror, Mystery, Thriller"
Knjiga 30,The Girl on the Train,"Paula Hawkins, Paula Hawkins","Book Club, Crime, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 31,The Secret Life of Bees,"Sue Monk Kidd, Sue Monk Kidd","Book Club, Classics, Coming Of Age, Fiction, Historical, Historical Fiction, Young Adult"
Knjiga 32,The Name of the Wind,"Patrick Rothfuss, Patrick Rothfuss","Audiobook, Epic Fantasy, Fantasy, Fiction, High Fantasy, Magic, Science Fiction Fantasy"
Knjiga 33,The Red Tent,"Anita Diamant, Anita Diamant","Adult, Book Club, Feminism, Fiction, Historical, Historical Fiction, Religion"
Knjiga 34,Mystic River,"Dennis Lehane, Dennis Lehane","Book Club, Crime, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 35,Wuthering Heights,"Emily Brontë, Richard J. Dunn, Charlotte Brontë, Emily Brontë","Audiobook, Classics, Fiction, Gothic, Historical Fiction, Literature, Romance"
Knjiga 36,Red Dragon,"Thomas  Harris, Thomas  Harris","Crime, Fiction, Horror, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 37,The Master and Margarita,"Mikhail Bulgakov, Diana Lewis Burgin, Katherine Tiernan O'Connor, Mikhail Bulgakov","Classics, Fantasy, Fiction, Literature, Magical Realism, Russia, Russian Literature"
Knjiga 38,1984,"George Orwell, Thomas Pynchon, George Orwell","Classics, Dystopia, Fiction, Literature, Novels, Politics, Science Fiction"
Knjiga 39,Never Lie,"Freida McFadden, Freida McFadden","Audiobook, Book Club, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 40,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss, Alexandre Dumas","Adventure, Classics, Fiction, France, Historical, Historical Fiction, Literature"
Knjiga 41,None of This Is True,"Lisa Jewell, Lisa Jewell","Audiobook, Book Club, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 42,Before I Go to Sleep,"S.J. Watson, S.J. Watson","Book Club, Crime, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 43,Big Little Lies,"Liane Moriarty, Liane Moriarty","Audiobook, Book Club, Contemporary, Fiction, Mystery, Mystery Thriller, Thriller"
Knjiga 44,The Paris Apartment,"Lucy Foley, Lucy Foley","Audiobook, Book Club, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 45,The Family Upstairs,"Lisa Jewell, Lisa Jewell","Audiobook, Book Club, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 46,The Giving Tree,"Shel Silverstein, Shel Silverstein","Childrens, Classics, Fantasy, Fiction, Picture Books, Poetry, Young Adult"
Knjiga 47,The Housemaid's Secret,"Freida McFadden, Freida McFadden","Audiobook, Crime, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 48,You,"Caroline Kepnes, Caroline Kepnes","Audiobook, Contemporary, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 49,Lock Every Door,"Riley Sager, Riley Sager","Audiobook, Fiction, Horror, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 50,The Woman in the Window,"A.J. Finn, A.J. Finn","Audiobook, Book Club, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 51,The Last Olympian,"Rick Riordan, Rick Riordan","Adventure, Fantasy, Fiction, Middle Grade, Mythology, Percy Jackson, Young Adult"
Knjiga 52,The Woman in Cabin 10,"Ruth Ware, Ruth Ware","Audiobook, Book Club, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 53,Pretty Girls,"Karin Slaughter, Karin Slaughter","Audiobook, Book Club, Crime, Fiction, Mystery, Mystery Thriller, Thriller"
Knjiga 54,Eragon,"Christopher Paolini, Christopher Paolini","Adventure, Dragons, Fantasy, Fiction, High Fantasy, Magic, Young Adult"
Knjiga 55,Home Before Dark,"Riley Sager, Riley Sager","Audiobook, Book Club, Fiction, Horror, Mystery, Mystery Thriller, Thriller"
Knjiga 56,The Very Hungry Caterpillar,"Eric Carle, Eric Carle","Animals, Childrens, Classics, Counting, Fiction, Food, Picture Books"
Knjiga 57,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Harry Potter, Magic, Young Adult"
Knjiga 58,The Bone Collector,"Jeffery Deaver, Jeffery Deaver","Contemporary, Crime, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 59,The Only One Left,"Riley Sager, Riley Sager","Audiobook, Book Club, Fiction, Horror, Mystery, Mystery Thriller, Thriller"
Knjiga 60,The Couple Next Door,"Shari Lapena, Shari Lapena","Audiobook, Book Club, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 61,Behind Closed Doors,"B.A. Paris, B.A. Paris","Audiobook, Book Club, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 62,Final Girls,"Riley Sager, Riley Sager","Audiobook, Crime, Fiction, Horror, Mystery, Mystery Thriller, Thriller"
Knjiga 63,No Exit,"Taylor  Adams, Taylor  Adams","Book Club, Fiction, Horror, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 64,The Last Thing He Told Me,"Laura Dave, Laura Dave","Audiobook, Book Club, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 65,Looking for Alaska,"John Green, John Green","Coming Of Age, Contemporary, Fiction, Realistic Fiction, Romance, Teen, Young Adult"
Knjiga 66,"The Lion, the Witch and the Wardrobe","C.S. Lewis, Tormod Haugen, Per Svein Paulsen, C.S. Lewis","Adventure, Childrens, Classics, Fantasy, Fiction, Middle Grade, Young Adult"
Knjiga 67,Then She Was Gone,"Lisa Jewell, Lisa Jewell","Audiobook, Book Club, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 68,The Perks of Being a Wallflower,"Stephen Chbosky, Stephen Chbosky","Classics, Coming Of Age, Contemporary, Fiction, Mental Health, Romance, Young Adult"
Knjiga 69,A Flicker in the Dark,"Stacy Willingham, Stacy Willingham","Audiobook, Book Club, Crime, Fiction, Mystery, Mystery Thriller, Thriller"
Knjiga 70,Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake, Roald Dahl","Childrens, Classics, Fantasy, Fiction, Humor, Middle Grade, Young Adult"
Knjiga 71,Six of Crows,"Leigh Bardugo, Leigh Bardugo","Adventure, Fantasy, Fiction, LGBT, Romance, Young Adult, Young Adult Fantasy"
Knjiga 72,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye, Mark Twain","Adventure, Childrens, Classics, Fiction, Historical Fiction, Literature, Young Adult"
Knjiga 73,Middlesex,"Jeffrey Eugenides, Jeffrey Eugenides","Book Club, Classics, Contemporary, Fiction, Historical Fiction, LGBT, Literary Fiction"
Knjiga 74,The Shadow of the Wind,"Carlos Ruiz Zafón, Lucia Graves, Carlos Ruiz Zafón","Book Club, Books About Books, Fantasy, Fiction, Historical, Historical Fiction, Mystery"
Knjiga 75,The Curious Incident of the Dog in the Night-Time,"Mark Haddon, Mark Haddon","Autistic Spectrum Disorder, Book Club, Classics, Contemporary, Fiction, Mystery, Young Adult"
Knjiga 76,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson","Mitch Albom, Mitch Albom","Biography, Classics, Inspirational, Memoir, Nonfiction, Philosophy, Self Help"
Knjiga 77,Holes,"Louis Sachar, Louis Sachar","Childrens, Classics, Fiction, Middle Grade, Mystery, School, Young Adult"
Knjiga 78,Harry Potter and the Half-Blood Prince,"J.K. Rowling, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Harry Potter, Magic, Young Adult"
Knjiga 79,Gone with the Wind,"Margaret Mitchell, Margaret Mitchell","Classics, Fiction, Historical, Historical Fiction, Literature, Romance, War"
Knjiga 80,The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim, Milan Kundera","Classics, Czech Literature, Fiction, Literature, Novels, Philosophy, Romance"
Knjiga 81,The Name of the Rose,"Umberto Eco, William Weaver, Umberto Eco","Classics, Fiction, Historical, Historical Fiction, Italy, Literature, Mystery"
Knjiga 82,On the Road,"Jack Kerouac, Jack Kerouac","Adventure, American, Classics, Fiction, Literature, Novels, Travel"
Knjiga 83,Where the Red Fern Grows,"Wilson Rawls, Wilson Rawls","Childrens, Classics, Fiction, Historical Fiction, Middle Grade, School, Young Adult"
Knjiga 84,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart, Mario Puzo","Classics, Crime, Fiction, Historical Fiction, Mystery, Novels, Thriller"
Knjiga 85,In Cold Blood,"Truman Capote, Truman Capote","Book Club, Classics, Crime, History, Mystery, Nonfiction, True Crime"
Knjiga 86,Catching Fire,"Suzanne Collins, Suzanne Collins","Adventure, Dystopia, Fantasy, Fiction, Romance, Science Fiction, Young Adult"
Knjiga 87,The Song of Achilles,"Madeline Miller, Madeline Miller","Fantasy, Fiction, Historical Fiction, LGBT, Mythology, Queer, Romance"
Knjiga 88,The Scarlet Letter,"Nathaniel Hawthorne, Nina Baym, Thomas E. Connolly, Nathaniel Hawthorne","Classics, Fiction, High School, Historical, Historical Fiction, Literature, School"
Knjiga 89,American Gods: Tenth Anniversary,"Neil Gaiman, Neil Gaiman","Audiobook, Fantasy, Fiction, Mythology, Science Fiction, Science Fiction Fantasy, Urban Fantasy"
Knjiga 90,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Antoine de Saint-Exupéry","Childrens, Classics, Fantasy, Fiction, France, Philosophy, Young Adult"
Knjiga 91,The Five People You Meet in Heaven,"Mitch Albom, Mitch Albom","Book Club, Classics, Contemporary, Fantasy, Fiction, Inspirational, Spirituality"
Knjiga 92,Watchmen,"Alan             Moore, Dave Gibbons, John    Higgins, Alan             Moore","Classics, Comics, Fantasy, Fiction, Graphic Novels, Graphic Novels Comics, Science Fiction"
Knjiga 93,The Divine Comedy: Inferno - Purgatorio - Paradiso,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale, Dante Alighieri","Classics, Fantasy, Fiction, Literature, Philosophy, Poetry, Religion"
Knjiga 94,All Quiet on the Western Front,"Erich Maria Remarque, Arthur Wesley Wheen, Erich Maria Remarque","Classics, Fiction, Historical, Historical Fiction, Literature, School, War"
Knjiga 95,The Cat in the Hat,"Dr. Seuss, Dr. Seuss","Childrens, Classics, Fantasy, Fiction, Humor, Picture Books, Poetry"
Knjiga 96,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman, Terry Pratchett","Audiobook, Book Club, Comedy, Fantasy, Fiction, Humor, Urban Fantasy"
Knjiga 97,Lonesome Dove,"Larry McMurtry, Larry McMurtry","Adventure, Audiobook, Classics, Fiction, Historical, Historical Fiction, Westerns"
Knjiga 98,The Little House Collection,"Laura Ingalls Wilder, Laura Ingalls Wilder","Childrens, Classics, Fiction, Historical, Historical Fiction, Middle Grade, Young Adult"
Knjiga 99,"Hush, Hush","Becca Fitzpatrick, Becca Fitzpatrick","Angels, Fantasy, Fiction, Paranormal, Paranormal Romance, Romance, Young Adult"
Knjiga 100,Peter Pan,"J.M. Barrie, Michael Hague, J.M. Barrie","Adventure, Audiobook, Childrens, Classics, Fantasy, Fiction, Young Adult"
Knjiga 101,Jane Eyre,"Charlotte Brontë, Michael Mason, Charlotte Brontë","Classics, Fiction, Gothic, Historical, Historical Fiction, Literature, Romance"
Knjiga 102,The Titan’s Curse,"Rick Riordan, Rick Riordan","Adventure, Fantasy, Fiction, Middle Grade, Mythology, Percy Jackson, Young Adult"
Knjiga 103,The Battle of the Labyrinth,"Rick Riordan, Rick Riordan","Adventure, Fantasy, Fiction, Middle Grade, Mythology, Percy Jackson, Young Adult"
Knjiga 104,Throne of Glass,"Sarah J. Maas, Sarah J. Maas","Audiobook, Fantasy, Fiction, Magic, Romance, Romantasy, Young Adult"
Knjiga 105,A Court of Mist and Fury,"Sarah J. Maas, Sarah J. Maas","Audiobook, Fae, Fantasy, Fiction, Romance, Romantasy, Young Adult"
Knjiga 106,The Sea of Monsters,"Rick Riordan, Rick Riordan","Adventure, Fantasy, Fiction, Middle Grade, Mythology, Percy Jackson, Young Adult"
Knjiga 107,Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman, Kjell Risvik, Gabriel García Márquez","Book Club, Classics, Fiction, Historical Fiction, Literature, Magical Realism, Romance"
Knjiga 108,Insurgent,"Veronica Roth, Veronica Roth","Adventure, Dystopia, Fantasy, Fiction, Romance, Science Fiction, Young Adult"
Knjiga 109,A Walk to Remember,"Nicholas Sparks, Nicholas Sparks","Adult, Chick Lit, Contemporary, Contemporary Romance, Fiction, Romance, Young Adult"
Knjiga 110,The Addiction Manifesto,"Jerry Weaver, J.R.  Weaver, Jerry Weaver","Addiction, Classics, Memoir, Mental Health, Nonfiction, Psychology, Self Help"
Knjiga 111,Clockwork Princess,"Cassandra Clare, Cassandra Clare","Fantasy, Historical Fiction, Paranormal, Romance, Steampunk, Urban Fantasy, Young Adult"
Knjiga 112,Pride and Prejudice,"Jane Austen, Anna Quindlen, Jane Austen, Natalie Jenner","Audiobook, Classics, Fiction, Historical, Historical Fiction, Literature, Romance"
Knjiga 113,The Great Gatsby,"F. Scott Fitzgerald, F. Scott Fitzgerald","Classics, Fiction, Historical Fiction, Literature, Novels, Romance, School"
Knjiga 114,How the Grinch Stole Christmas!,"Dr. Seuss, Dr. Seuss","Childrens, Christmas, Classics, Fantasy, Fiction, Picture Books, Poetry"
Knjiga 115,The Thorn Birds,"Colleen McCullough, Colleen McCullough","Australia, Classics, Fiction, Historical, Historical Fiction, Historical Romance, Romance"
Knjiga 116,American Psycho,"Bret Easton Ellis, Bret Easton Ellis","Classics, Contemporary, Crime, Fiction, Horror, Novels, Thriller"
Knjiga 117,The Maze Runner,"James Dashner, James Dashner","Adventure, Audiobook, Dystopia, Fantasy, Fiction, Science Fiction, Young Adult"
Knjiga 118,The Ultimate Hitchhiker’s Guide to the Galaxy,"Douglas Adams, Douglas Adams","Classics, Comedy, Fantasy, Fiction, Humor, Science Fiction, Science Fiction Fantasy"
Knjiga 119,The Seven Husbands of Evelyn Hugo,"Taylor Jenkins Reid, Taylor Jenkins Reid","Audiobook, Book Club, Contemporary, Fiction, Historical Fiction, LGBT, Romance"
Knjiga 120,Their Eyes Were Watching God,"Zora Neale Hurston, Zora Neale Hurston","African American, Book Club, Classics, Fiction, Historical Fiction, Literature, School"
Knjiga 121,Shadow Kiss,"Richelle Mead, Richelle Mead","Fantasy, Paranormal, Paranormal Romance, Romance, Urban Fantasy, Vampires, Young Adult"
Knjiga 122,Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Harry Potter, Magic, Young Adult"
Knjiga 123,The Compleat Works of Wllm Shkspr,"Reduced Shakespeare Company, Daniel Singer, Jess Winfield, Reduced Shakespeare Company","Classics, Drama, Fiction, Humor, Plays, Shakespeare, Theatre"
Knjiga 124,Crime and Punishment,"Fyodor Dostoevsky, David McDuff, Joseph Frank, Fyodor Dostoevsky","Classics, Fiction, Literature, Novels, Philosophy, Russia, Russian Literature"
Knjiga 125,The Importance of Being Earnest,"Oscar Wilde, Oscar Wilde","Classics, Drama, Fiction, Humor, Literature, Plays, School"
Knjiga 126,The Wonderful Wizard of Oz,"L. Frank Baum, W.W. Denslow, L. Frank Baum","Adventure, Audiobook, Childrens, Classics, Fantasy, Fiction, Young Adult"
Knjiga 127,Atonement,"Ian McEwan, Ian McEwan","Book Club, Classics, Fiction, Historical, Historical Fiction, Romance, War"
Knjiga 128,The Three Musketeers,"Alexandre Dumas, Richard Pevear, John      Lee, Alexandre Dumas","Adventure, Classics, Fiction, France, Historical, Historical Fiction, Literature"
Knjiga 129,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, Susan Massotty, Anne Frank","Biography, Classics, Historical, History, Holocaust, Memoir, Nonfiction"
Knjiga 130,The Lorax,"Dr. Seuss, Dr. Seuss","Childrens, Classics, Environment, Fantasy, Fiction, Picture Books, Poetry"
Knjiga 131,"Eat, Pray, Love","Elizabeth Gilbert, Elizabeth Gilbert","Biography, Book Club, Chick Lit, Memoir, Nonfiction, Romance, Travel"
Knjiga 132,The Hunger Games Trilogy Boxset,"Suzanne Collins, Guillaume Fournier, Pilar Ramírez Tello, Suzanne Collins","Adventure, Dystopia, Fantasy, Fiction, Romance, Science Fiction, Young Adult"
Knjiga 133,Goodnight Moon,"Margaret Wise Brown, Clement Hurd, Margaret Wise Brown","Animals, Childrens, Classics, Fiction, Kids, Picture Books, Poetry"
Knjiga 134,The Virgin Suicides,"Jeffrey Eugenides, Jeffrey Eugenides","Classics, Coming Of Age, Contemporary, Fiction, Literary Fiction, Mental Health, Young Adult"
Knjiga 135,The Da Vinci Code,"Dan    Brown, Dan    Brown","Adventure, Fiction, Historical Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 136,A Midsummer Night’s Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, William Shakespeare","Classics, Drama, Fantasy, Fiction, Plays, School, Shakespeare"
Knjiga 137,Murder on the Orient Express,"Agatha Christie, Agatha Christie","Agatha Christie, Audiobook, Classics, Crime, Fiction, Mystery, Mystery Thriller"
Knjiga 138,Room,"Emma Donoghue, Emma Donoghue","Adult, Adult Fiction, Audiobook, Book Club, Contemporary, Fiction, Thriller"
Knjiga 139,Bridge to Terabithia,"Katherine Paterson, Katherine Paterson","Childrens, Classics, Fantasy, Fiction, Middle Grade, Realistic Fiction, Young Adult"
Knjiga 140,Frostbite,"Richelle Mead, Richelle Mead","Fantasy, Paranormal, Paranormal Romance, Romance, Urban Fantasy, Vampires, Young Adult"
Knjiga 141,The Selection,"Kiera Cass, Kiera Cass","Audiobook, Dystopia, Fantasy, Fiction, Romance, Science Fiction, Young Adult"
Knjiga 142,Heart of Darkness,"Joseph Conrad, Joseph Conrad","Africa, Classics, Fiction, Historical Fiction, Literature, Novels, School"
Knjiga 143,Tess of the D’Urbervilles,"Thomas Hardy, Margaret R. Higonnet, Tim Dolin, Thomas Hardy","19th Century, Classics, Fiction, Historical Fiction, Literature, Romance, Victorian"
Knjiga 144,The Night Circus,"Erin Morgenstern, Erin Morgenstern","Book Club, Fantasy, Fiction, Historical Fiction, Magic, Magical Realism, Romance"
Knjiga 145,The Call of the Wild,"Jack London, Avi, Jack London","Adventure, Animals, Classics, Fiction, Historical Fiction, Literature, Young Adult"
Knjiga 146,Alice’s Adventures in Wonderland / Through the Looking-Glass,"Lewis Carroll, Martin Gardner, John Tenniel, Lewis Carroll","Adventure, Childrens, Classics, Fantasy, Fiction, Literature, Young Adult"
Knjiga 147,The Prophet,"Kahlil Gibran, Kahlil Gibran","Classics, Fiction, Literature, Philosophy, Poetry, Religion, Spirituality"
Knjiga 148,Blood Promise,"Richelle Mead, Richelle Mead","Fantasy, Paranormal, Paranormal Romance, Romance, Urban Fantasy, Vampires, Young Adult"
Knjiga 149,Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke, Jane Carruth","Adventure, Childrens, Classics, Fantasy, Fiction, Literature, Young Adult"
